OverallQual,YearBuilt,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,GarageCars,SalePrice
7,2003,856,856,1710,2,2,208500
6,1976,1262,1262,1262,2,2,181500
7,2001,920,920,1786,2,2,223500
7,1915,756,961,1717,1,3,140000
8,2000,1145,1145,2198,2,3,250000
5,1993,796,796,1362,1,2,143000
8,2004,1686,1694,1694,2,2,307000
7,1973,1107,1107,2090,2,2,200000
7,1931,952,1022,1774,2,2,129900
5,1939,991,1077,1077,1,1,118000
5,1965,1040,1040,1040,1,1,129500
9,2005,1175,1182,2324,3,3,345000
5,1962,912,912,912,1,1,144000
7,2006,1494,1494,1494,2,3,279500
6,1960,1253,1253,1253,1,1,157000
7,1929,832,854,854,1,2,132000
6,1970,1004,1004,1004,1,2,149000
4,1967,0,1296,1296,2,2,90000
5,2004,1114,1114,1114,1,2,159000
5,1958,1029,1339,1339,1,1,139000
8,2005,1158,1158,2376,3,3,325300
7,1930,637,1108,1108,1,1,139400
8,2002,1777,1795,1795,2,2,230000
5,1976,1040,1060,1060,1,2,129900
5,1968,1060,1060,1060,1,1,154000
8,2007,1566,1600,1600,2,3,256300
5,1951,900,900,900,1,2,134800
8,2007,1704,1704,1704,2,3,306000
5,1957,1484,1600,1600,1,1,207500
4,1927,520,520,520,1,1,68500
4,1920,649,649,1317,1,1,40000
5,1966,1228,1228,1228,1,1,149350
8,2007,1234,1234,1234,2,2,179900
5,1959,1398,1700,1700,1,2,165500
9,2005,1561,1561,1561,2,2,277500
8,2004,1117,1132,2452,3,3,309000
5,1994,1097,1097,1097,1,2,145000
5,1954,1297,1297,1297,1,2,153000
5,1953,1057,1057,1057,1,1,109000
4,1955,0,1152,1152,2,0,82000
6,1965,1088,1324,1324,2,2,160000
5,1959,1350,1328,1328,1,1,170000
5,1983,840,884,884,1,2,144000
5,1975,938,938,938,1,1,130250
5,1959,1150,1150,1150,1,1,141000
9,2005,1752,1752,1752,2,2,319900
7,2003,1434,1518,2149,1,2,239686
8,2006,1656,1656,1656,2,3,249700
4,1920,736,736,1452,2,0,113000
5,1966,955,955,955,1,1,127000
6,1997,794,794,1470,2,2,177000
6,1934,816,816,1176,1,2,114500
5,1963,816,816,816,1,2,110000
9,1981,1842,1842,1842,0,3,385000
5,1955,384,1360,1360,1,2,130000
6,1964,1425,1425,1425,2,2,180500
8,1999,970,983,1739,2,2,172500
7,2004,860,860,1720,2,2,196500
10,2006,1410,1426,2945,3,3,438780
5,1972,780,780,780,1,1,124900
6,2004,1158,1158,1158,1,2,158000
5,1920,530,581,1111,1,1,101000
8,2006,1370,1370,1370,2,2,202500
7,1921,576,902,1710,2,2,140000
7,1997,1057,1057,2034,2,2,219500
8,2004,1143,1143,2473,2,3,317000
7,1970,1947,2207,2207,2,2,180000
7,2003,1453,1479,1479,2,2,226000
4,1945,747,747,747,1,1,80000
7,1953,1304,1304,2287,2,2,225000
7,1973,2223,2223,2223,2,2,244000
4,1982,845,845,845,1,2,129500
7,1998,832,885,1718,2,2,185000
5,1954,1086,1086,1086,1,2,144900
3,1915,840,840,1605,2,1,107400
4,1973,462,526,988,1,1,91000
4,1956,952,952,952,1,1,135750
5,1948,672,1072,1285,1,1,127000
4,1968,1768,1768,1768,2,0,136500
5,1910,440,682,1230,1,2,110000
6,1968,896,1182,2142,2,1,193500
6,1998,1237,1337,1337,2,2,153500
8,2007,1563,1563,1563,2,3,245000
5,1960,1065,1065,1065,1,2,126500
7,1995,384,804,1474,2,2,168500
8,1991,1288,1301,2417,2,2,260000
6,2005,684,684,1560,2,2,174000
6,2009,612,612,1224,2,2,164500
3,1915,1013,1013,1526,1,0,85000
4,1994,990,990,990,1,0,123600
4,1950,0,1040,1040,1,2,109900
5,1961,1235,1235,1235,1,2,98600
5,1921,876,964,964,1,2,163500
6,1910,1214,1260,2291,2,2,133900
6,1997,824,905,1786,2,2,204750
6,1993,680,680,1470,2,2,185000
7,1999,1588,1588,1588,2,2,214000
4,1965,960,960,960,1,1,94750
5,1920,458,835,835,1,1,83000
4,1959,950,1225,1225,1,0,128950
6,1977,1610,1610,1610,2,2,205000
6,1985,741,977,1732,2,2,178000
5,1979,0,1535,1535,2,2,118964
7,2009,1226,1226,1226,2,3,198900
7,1931,1040,1226,1818,1,1,169500
8,2003,1053,1053,1992,2,2,250000
4,1885,641,1047,1047,1,1,100000
5,1948,789,789,789,1,1,115000
5,1919,793,997,1517,2,0,115000
6,1977,1844,1844,1844,2,2,190000
6,1954,994,1216,1855,2,1,136900
7,2000,384,774,1430,2,2,180000
7,2007,1264,1282,2696,2,3,383970
6,1953,1809,2259,2259,2,2,217000
6,1945,1028,1436,2320,2,1,259500
6,1999,729,729,1458,2,2,176000
5,1962,1092,1092,1092,1,1,139000
5,2006,1125,1125,1125,1,2,155000
7,1990,1673,1699,3222,3,3,320000
6,2005,728,728,1456,2,2,163990
6,1969,938,988,988,1,2,180000
4,1939,732,772,1123,1,1,100000
6,1958,1080,1080,1080,1,1,136000
6,1993,1199,1199,1199,2,2,153900
6,1979,1362,1586,1586,2,2,181000
6,1935,520,520,754,1,0,84500
6,1976,1078,958,958,2,2,128000
5,1930,672,840,840,1,0,87000
6,1966,660,660,1348,1,2,155000
5,1958,1008,1053,1053,1,2,150000
7,1966,924,1216,2157,2,2,226000
6,2000,992,1022,2054,2,2,244000
5,1959,1063,1327,1327,1,2,150750
8,2001,1267,1296,1296,2,2,220000
5,1968,1461,1721,1721,2,2,180000
7,1970,1304,1682,1682,2,2,174000
5,1967,1214,1214,1214,2,1,143000
7,1988,1907,1959,1959,3,3,171000
8,1999,1004,1004,1852,2,3,230000
6,1997,928,928,1764,2,2,231500
4,1971,864,864,864,1,0,115000
7,2005,1734,1734,1734,2,2,260000
5,1952,910,910,1385,2,2,166000
7,1999,1490,1501,1501,2,2,204000
5,1963,1728,1728,1728,2,2,125000
6,2004,970,970,1709,2,2,130000
5,1931,715,875,875,1,1,105000
7,2001,884,884,2035,2,2,222500
7,2004,1080,1080,1080,1,0,141000
5,1936,896,896,1344,1,1,115000
5,1975,969,969,969,1,2,122000
8,2007,1710,1710,1710,2,3,372402
6,1971,825,1097,1993,2,2,190000
6,1960,1602,1252,1252,1,2,235000
6,1923,1200,1200,1200,1,1,125000
6,1924,572,572,1096,1,0,79000
5,1950,0,1040,1040,1,2,109500
8,2009,774,774,1968,2,3,269500
7,2004,991,991,1947,2,2,254900
7,2005,1392,1392,2462,2,2,320000
6,1984,1232,1232,1232,2,2,162500
9,2003,1572,1572,2668,2,3,412500
7,2005,1541,1541,1541,2,2,220000
4,1956,882,882,882,1,0,103200
6,1926,1149,1149,1616,2,1,152000
5,1940,644,808,1355,2,0,127500
5,1955,1617,1867,1867,1,1,190000
8,2007,1582,1610,2161,1,3,325624
7,2004,840,840,1720,2,2,183500
8,1981,1686,1707,1707,2,2,228000
5,1941,720,854,1382,1,2,128500
6,1960,1080,1656,1656,1,2,215000
7,1987,1064,1064,1767,2,2,239000
6,1961,1362,1362,1362,1,2,163000
6,1986,1606,1651,1651,2,2,184000
6,1950,1202,2158,2158,2,2,243000
6,1988,1151,1164,2060,2,2,211000
5,1958,1052,1252,1920,2,2,172500
9,2008,2216,2234,2234,2,3,501837
5,1923,968,968,968,1,2,100000
6,2000,756,769,1525,2,2,177000
7,1920,793,901,1802,1,1,200100
5,1957,0,1340,1340,1,1,120000
7,2003,1362,1362,2082,2,2,200000
5,1908,504,936,1252,1,2,127000
10,1892,1107,1518,3608,2,3,475000
7,1990,1188,1217,1217,2,2,173000
5,1916,660,808,1656,2,1,135000
5,1979,1086,1224,1224,0,2,153337
8,2001,1593,1593,1593,1,2,286000
8,1932,853,1549,2727,2,2,315000
7,1972,725,725,1479,1,2,184000
7,1999,1431,1431,1431,2,2,192000
7,2004,970,970,1709,2,2,130000
5,1972,864,864,864,1,1,127000
6,1976,855,855,1456,2,2,148500
7,2007,1726,1726,1726,2,3,311872
8,1918,1360,1360,3112,2,2,235000
6,1912,755,929,2229,1,0,104000
8,2004,1713,1713,1713,2,3,274900
4,2003,1121,1121,1121,2,2,140000
6,1977,1196,1279,1279,2,2,171500
6,1924,617,865,1310,2,1,112000
6,2004,848,848,848,1,2,149000
5,1947,720,720,1284,1,1,110000
7,1990,1424,1442,1442,2,2,180500
5,1962,1140,1696,1696,1,1,143900
4,1960,1100,1100,1100,1,1,141000
7,1988,1157,1180,2062,2,2,277000
6,1964,1092,1092,1092,1,2,145000
5,1925,864,864,864,1,0,98000
6,2009,1212,1212,1212,2,2,186000
7,2009,900,932,1852,2,2,252678
5,1995,990,990,990,1,2,156000
6,1977,689,689,1392,1,1,161750
5,1957,1070,1236,1236,1,1,134450
7,2004,1436,1436,1436,2,2,210000
4,1925,686,810,1328,1,1,107000
7,1939,798,1137,1954,1,2,311500
7,2005,1248,1248,1248,2,2,167240
7,2006,1498,1498,1498,2,2,204900
6,2002,1010,1010,2267,2,2,200000
6,1975,713,811,1552,2,2,179900
4,1971,864,864,864,1,2,97000
10,2003,2392,2392,2392,2,3,386250
5,1971,630,630,1302,2,1,112000
7,1995,1203,1214,2520,2,3,290000
6,1970,483,483,987,1,1,106000
5,1967,912,912,912,1,1,125000
7,2005,1373,1555,1555,2,2,192500
6,1959,1194,1194,1194,1,1,148000
8,1995,1462,1490,2794,2,3,403000
6,1972,483,483,987,1,1,94500
5,1976,894,894,894,1,1,128200
6,2002,860,860,1960,2,2,216500
6,1971,483,483,987,1,1,89500
7,2004,1414,1414,1414,2,2,185500
7,1993,996,1014,1744,2,2,194500
8,2007,1694,1694,1694,2,3,318000
6,1945,735,798,1487,1,1,113000
8,2008,1566,1566,1566,2,2,262500
5,1945,686,866,866,1,0,110500
5,1900,540,889,1440,1,1,79000
6,1980,626,626,1217,1,1,120000
7,1994,948,1222,2110,2,2,205000
7,1988,1845,1872,1872,2,2,241500
6,1910,1020,908,1928,2,1,137000
6,1954,1367,1375,1375,1,2,140000
7,2003,840,840,1668,2,2,180000
6,1958,1444,1444,2144,2,2,277000
3,1940,728,1306,1306,1,0,76500
8,2006,1573,1625,1625,2,2,235000
6,2004,798,798,1640,2,2,173000
6,1964,1302,1302,1302,2,1,158000
5,1957,1314,1314,1314,1,1,145000
7,1999,975,1005,2291,2,2,230000
6,2003,864,864,1728,2,2,207500
7,2006,1604,1604,1604,2,2,220000
7,2001,963,963,1792,2,2,231500
5,1956,0,882,882,1,1,97000
6,1962,1362,1382,1382,1,2,176000
8,2007,1482,1482,2574,2,3,276000
6,1977,506,1212,1212,1,2,151000
5,1929,926,926,1316,1,2,130000
5,1925,680,764,764,1,2,73000
6,1981,1422,1422,1422,2,2,175500
6,1997,802,802,1511,2,2,185000
5,1939,720,1052,2192,2,1,179500
5,1940,740,778,778,1,1,120500
6,1976,1143,1113,1113,1,1,148000
8,2006,1095,1095,1939,2,3,266000
7,1954,1385,1363,1363,1,2,241500
8,1999,1152,1164,2270,2,3,290000
6,1958,1240,1632,1632,2,1,139000
5,1982,816,816,816,1,1,124500
7,1925,952,952,1548,2,2,205000
7,2003,1560,1560,1560,2,2,201000
4,1951,864,864,864,1,2,141000
9,2006,2121,2121,2121,2,3,415298
7,1977,1160,1156,2022,2,2,192000
7,1989,807,1175,1982,2,2,228500
6,2006,1262,1262,1262,2,2,185000
7,2007,1314,1314,1314,2,2,207500
8,2008,1468,1468,1468,2,3,244600
6,1992,1575,1575,1575,2,2,179200
7,2006,625,625,1250,2,2,164700
6,1962,912,1085,1734,1,2,159000
4,1971,858,858,858,1,0,88000
5,1967,882,900,900,1,1,122000
6,1915,698,698,1396,1,1,153575
8,2006,1079,1079,1919,2,2,233230
5,1912,780,936,1716,2,0,135900
5,1949,768,1148,1716,1,1,131000
7,1977,795,1468,2263,2,2,235000
6,1953,1416,1644,1644,1,2,167000
6,1984,1003,1003,1003,1,2,142500
5,1950,910,910,1558,1,1,152000
7,1997,975,975,1950,2,2,239000
6,1968,702,1041,1743,1,2,175000
6,1950,1092,1152,1152,1,1,158500
5,1953,1165,1336,1336,1,1,157000
8,1998,1028,1210,2452,2,2,267000
7,2001,1541,1541,1541,2,3,205000
5,1972,894,894,894,1,2,149900
7,1880,1470,1675,3493,3,3,295000
8,2004,2000,2000,2000,2,3,305900
7,1990,700,1122,2243,2,3,225000
6,1920,319,1035,1406,1,0,89500
4,1940,861,861,861,1,2,82500
9,2003,1896,1944,1944,2,3,360000
6,1993,697,697,1501,2,2,165600
6,1948,972,972,972,1,1,132000
5,1939,793,793,1118,1,2,119900
7,1965,2136,2036,2036,2,2,375000
7,1925,728,832,1641,1,2,178000
7,2004,716,716,1432,2,2,188500
7,1980,845,1153,2353,2,2,260000
8,2006,1088,1088,1959,2,3,270000
7,1993,1347,1372,2646,2,3,260000
7,1980,1372,1472,1472,2,2,187500
9,2006,1249,1249,2596,3,3,342643
8,2004,1136,1136,2468,2,3,354000
7,1986,1502,1553,2730,2,2,301000
3,1955,1162,1163,1163,1,1,126175
7,1967,710,1898,2978,2,2,242000
5,1941,720,803,803,1,2,87000
8,1993,1719,1719,1719,1,2,324000
6,1960,1383,1383,1383,1,1,145250
6,1916,844,1445,2134,2,2,214500
5,1920,596,596,1192,1,1,78000
5,1964,1728,1728,1728,2,1,119000
5,1958,1056,1056,1056,1,1,139000
8,2003,3206,1629,1629,2,3,284000
7,2004,1358,1358,1358,2,2,207000
6,1998,943,943,1638,2,2,192000
5,1965,1499,1619,1786,2,2,228950
9,2005,1922,1922,1922,2,3,377426
7,2002,1536,1536,1536,2,2,214000
7,1984,1208,1621,1621,2,2,202500
6,1958,1215,1215,1215,1,1,155000
8,2002,967,993,1908,2,2,202900
4,1950,721,841,841,1,1,82000
3,1949,0,1040,1040,2,2,87500
9,2005,1684,1684,1684,2,2,266000
5,1976,536,536,1112,1,1,85000
6,1939,972,972,1577,1,1,140200
6,1960,958,958,958,1,1,151500
6,1960,1478,1478,1478,2,2,157500
7,2003,764,764,1626,2,2,154000
9,2005,1848,1848,2728,2,3,437154
9,2007,1869,1869,1869,2,2,318061
7,1986,1453,1453,1453,1,2,190000
5,1941,616,616,1111,1,1,95000
6,1928,624,720,720,1,2,105900
6,1940,940,1192,1595,1,1,140000
6,1995,1200,1200,1200,2,2,177500
6,1992,1158,1167,1167,2,2,173000
5,1976,1142,1142,1142,1,2,134000
5,1958,1062,1352,1352,1,1,130000
8,1998,1086,1086,1924,2,2,280000
6,1978,888,912,912,1,2,156000
5,1940,883,988,1505,1,1,145000
7,2003,0,495,1922,3,2,198500
6,1972,483,483,987,1,1,118000
6,1976,796,790,1574,2,2,190000
5,1920,672,672,1344,1,1,147000
6,1963,1394,1394,1394,1,2,159000
6,1962,1099,1431,1431,1,1,165000
5,1954,1268,1268,1268,1,1,132000
5,1959,1063,1287,1287,1,2,162000
6,2000,953,953,1664,2,2,172400
4,1959,0,1120,1588,2,2,134432
6,1984,744,752,752,1,1,125000
5,1953,608,1319,1319,1,1,123000
7,2003,847,847,1928,2,2,219500
1,1922,683,904,904,0,0,61000
5,1996,870,914,914,1,2,148000
8,2004,1580,1580,2466,3,2,340000
9,2010,1856,1856,1856,1,3,394432
6,2000,982,1007,1800,2,2,179000
5,1924,1026,1026,1691,2,1,127000
7,2006,1293,1301,1301,2,2,187750
7,2006,939,939,1797,2,2,213500
6,1928,784,784,784,1,2,76000
6,1992,1580,1079,1953,2,2,240000
8,2004,1256,1269,1269,2,2,192000
5,1910,658,658,1184,1,0,81000
6,1976,1041,1125,1125,1,1,125000
7,1999,1468,1479,1479,2,2,191000
10,2007,1682,1742,2332,2,3,426000
5,1900,861,961,1367,1,1,119000
6,2001,804,804,1961,2,2,215000
5,1959,0,882,882,1,1,106500
4,1941,788,788,788,1,0,100000
5,1940,735,735,1034,1,1,109000
5,1956,1144,1144,1144,1,1,129000
5,1972,894,894,894,1,2,123000
5,1962,864,876,1812,2,1,169500
5,1920,961,1077,1077,1,1,67000
7,2006,1092,1112,1550,2,2,241000
8,1996,1260,1288,1288,1,2,245500
7,2005,1310,1310,1310,2,2,164990
5,1940,672,672,672,1,1,108000
8,1998,1141,1165,2263,2,2,258000
6,1995,806,806,1572,2,2,168000
4,1976,1281,1620,1620,2,2,150000
6,1936,1064,1166,1639,1,1,115000
6,1915,840,840,1680,2,1,177000
7,2006,1063,1071,2172,2,3,280000
8,2007,1034,1050,2078,2,3,339750
5,1958,1276,1276,1276,1,1,60000
5,1955,1056,1056,1056,1,2,145000
7,2009,1470,1478,1478,2,2,222000
5,1927,1008,1028,1028,1,2,115000
7,1993,1080,1080,2097,2,3,228000
7,2007,1340,1340,1340,2,2,181134
6,1978,672,672,1400,1,2,149500
6,1918,1370,1370,2624,2,3,239000
5,1940,756,756,1134,1,1,126000
5,1968,1056,1056,1056,1,1,142000
7,1997,1344,1344,1344,2,4,206300
6,1977,1602,1602,1602,2,2,215000
5,1954,988,988,988,1,2,113000
8,1998,1470,1470,2630,2,3,315000
6,1956,1196,1196,1196,1,1,139000
7,1946,651,707,1389,1,1,135000
7,1989,1518,1644,1644,2,2,275000
4,1957,907,907,907,1,1,109008
7,2007,1208,1208,1208,2,2,195400
6,1988,1392,1412,1412,2,2,175000
6,1971,483,483,987,1,1,85400
6,1920,901,1088,1198,1,0,79900
5,1971,765,765,1365,1,2,122500
6,1997,926,926,1604,2,2,181000
4,1972,630,630,630,1,0,81000
7,1996,799,827,1661,2,2,212000
6,1920,648,734,1118,1,2,116000
6,1926,884,904,904,1,1,119000
5,1913,440,694,694,1,1,90350
6,1920,684,684,1196,1,2,110000
10,2008,3094,2402,2402,2,3,555000
4,1955,1440,1440,1440,2,0,118000
5,1930,1078,1128,1573,2,2,162900
7,2006,1258,1258,1258,2,3,172500
7,1994,915,933,1908,2,2,210000
6,1956,1436,1689,1689,1,2,127500
6,1966,1517,1888,1888,2,2,190000
7,1998,930,956,1886,2,2,199900
6,1937,780,780,1376,2,1,119500
3,1948,649,679,1183,1,1,120000
6,1930,813,813,813,1,1,110000
7,1975,1533,1533,1533,2,2,280000
6,1996,872,888,1756,2,2,204000
8,2008,768,786,1590,2,2,210000
5,1976,1728,1728,1728,2,2,188000
7,1973,1242,1242,1242,1,2,175500
5,1916,624,624,1344,1,3,98000
4,1954,1364,1663,1663,1,2,256000
8,1925,588,833,1666,1,1,161000
5,1950,709,979,1203,1,1,110000
8,2009,832,832,1935,2,2,263435
7,1936,560,575,1135,1,2,155000
5,1965,864,864,864,1,1,62383
6,1934,715,849,1660,1,1,188700
5,1978,1040,1040,1040,2,0,124000
7,2004,1375,1414,1414,2,2,178740
7,1970,1277,1277,1277,1,2,167000
5,1942,728,888,1644,1,1,146500
8,2006,1626,1634,1634,2,3,250000
6,1993,832,832,1710,2,2,187000
8,1985,1488,1502,1502,1,2,212000
7,1977,808,1161,1969,2,2,190000
6,2005,547,1072,1072,1,2,148000
8,2006,1976,1976,1976,2,3,440000
8,2000,1494,1652,1652,2,2,251000
5,1963,970,970,970,1,2,132500
6,1997,1478,1493,1493,2,2,208900
9,2006,2153,2069,2643,2,3,380000
8,2007,1705,1718,1718,2,3,297000
4,1937,907,1131,1131,1,2,89471
9,2004,1833,1850,1850,2,3,326000
9,2003,1792,1792,1792,2,3,374000
7,1915,910,916,1826,1,1,155000
6,1998,1216,1216,1216,2,2,164000
5,1962,999,999,999,1,1,132500
5,1950,1113,1113,1113,1,1,147000
5,1965,1073,1073,1073,1,2,156000
5,1971,1484,1484,1484,2,2,175000
5,1900,954,1766,2414,2,2,160000
4,1970,630,630,630,1,1,86000
5,1976,264,616,1304,1,1,115000
6,1941,806,958,1578,1,1,133000
6,2006,728,728,1456,2,2,172785
5,1960,1269,1269,1269,1,1,155000
5,1938,190,886,886,1,1,91300
4,1920,720,720,720,1,0,34900
8,1992,3200,3228,3228,3,2,430000
7,1925,1026,1133,1820,2,1,184000
5,1967,864,899,899,1,1,130000
5,1958,912,912,912,1,1,120000
6,1973,672,672,1218,1,1,113000
7,2005,866,866,1768,2,2,226700
5,1965,1214,1214,1214,1,2,140000
7,1959,1501,1801,1801,2,2,289000
6,1974,855,855,1322,2,2,147000
5,1952,960,960,1960,2,2,124500
8,1993,777,1065,1911,2,2,215000
6,2009,1218,1218,1218,2,2,208300
7,1928,689,689,1378,2,2,161000
5,1959,1041,1041,1041,1,1,124500
5,1951,1008,1363,1363,1,1,164900
7,2005,1368,1368,1368,2,2,202665
5,1958,864,864,864,1,2,129900
6,1983,1084,1080,1080,1,2,134000
5,1926,768,789,789,1,1,96500
10,2009,2006,2020,2020,2,3,402861
6,1972,689,1378,2119,2,2,158000
7,1996,1264,1277,2344,2,3,265000
6,1998,794,882,1796,2,2,211000
7,1926,1276,1276,2080,1,1,234000
4,1900,0,694,1294,2,0,106250
6,1957,1244,1244,1244,1,1,150000
6,1947,1004,1004,1664,2,2,159000
10,2007,3138,3138,4676,3,3,184750
7,1996,1379,1383,2398,2,3,315750
7,2005,1257,1266,1266,2,2,176000
5,1956,928,928,928,1,1,132000
9,2008,1452,1476,2713,2,3,446261
